PERMNO,date,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd
92585,03/08/2016,ACWI,ISHARES TRUST,46428825,54.01000,-0.010806,98600,-0.013531,-0.018210
92585,03/09/2016,ACWI,ISHARES TRUST,46428825,54.30000,0.005369,98600,0.005586,0.005691
92585,03/10/2016,ACWI,ISHARES TRUST,46428825,54.27000,-0.000552,98600,-0.001287,-0.004422
92585,03/11/2016,ACWI,ISHARES TRUST,46428825,55.36000,0.020085,98600,0.017436,0.016298
92585,03/14/2016,ACWI,ISHARES TRUST,46428825,55.24000,-0.002168,98600,-0.001578,0.000189
92585,03/15/2016,ACWI,ISHARES TRUST,46428825,54.88000,-0.006517,97600,-0.004453,-0.012588
92585,03/16/2016,ACWI,ISHARES TRUST,46428825,55.40000,0.009475,97600,0.007490,0.008924
92585,03/17/2016,ACWI,ISHARES TRUST,46428825,55.89000,0.008845,97600,0.008244,0.011663
92585,03/18/2016,ACWI,ISHARES TRUST,46428825,56.00000,0.001968,97600,0.003872,0.004751
92585,03/21/2016,ACWI,ISHARES TRUST,46428825,56.00000,0.000000,97600,0.000505,0.001396
92585,03/22/2016,ACWI,ISHARES TRUST,46428825,55.93000,-0.001250,97600,-0.000371,-0.000077
92585,03/23/2016,ACWI,ISHARES TRUST,46428825,55.35000,-0.010370,97600,-0.009454,-0.016278
92585,03/24/2016,ACWI,ISHARES TRUST,46428825,55.23000,-0.002168,97600,-0.000150,0.001315
92585,03/28/2016,ACWI,ISHARES TRUST,46428825,55.40000,0.003078,97600,0.000799,-0.000776
92585,03/29/2016,ACWI,ISHARES TRUST,46428825,55.98000,0.010469,97600,0.011063,0.013281
92585,03/30/2016,ACWI,ISHARES TRUST,46428825,56.33000,0.006252,97600,0.004480,0.004491
92585,03/31/2016,ACWI,ISHARES TRUST,46428825,56.06000,-0.004793,97600,-0.000880,0.001597
92585,04/01/2016,ACWI,ISHARES TRUST,46428825,56.02000,-0.000714,97600,0.004652,0.001458
92585,04/04/2016,ACWI,ISHARES TRUST,46428825,55.82000,-0.003570,97600,-0.004386,-0.004642
92585,04/05/2016,ACWI,ISHARES TRUST,46428825,55.02000,-0.014332,97600,-0.010012,-0.007950
92585,04/06/2016,ACWI,ISHARES TRUST,46428825,55.68000,0.011996,97600,0.011077,0.010790
92585,04/07/2016,ACWI,ISHARES TRUST,46428825,54.97000,-0.012751,97600,-0.011634,-0.008705
92585,04/08/2016,ACWI,ISHARES TRUST,46428825,55.55000,0.010551,97600,0.004344,0.006521
92585,04/11/2016,ACWI,ISHARES TRUST,46428825,55.53000,-0.000360,97600,-0.001828,0.002530
92585,04/12/2016,ACWI,ISHARES TRUST,46428825,56.23000,0.012606,97600,0.010395,0.010832
92585,04/13/2016,ACWI,ISHARES TRUST,46428825,56.91000,0.012093,97600,0.011292,0.014046
92585,04/14/2016,ACWI,ISHARES TRUST,46428825,56.99000,0.001406,97600,-0.000443,-0.000166
92585,04/15/2016,ACWI,ISHARES TRUST,46428825,56.90000,-0.001579,97600,-0.000551,0.000181
92585,04/18/2016,ACWI,ISHARES TRUST,46428825,57.31000,0.007206,97600,0.006767,0.006413
92585,04/19/2016,ACWI,ISHARES TRUST,46428825,57.85000,0.009422,97600,0.004489,0.006452
92585,04/20/2016,ACWI,ISHARES TRUST,46428825,57.80000,-0.000864,97600,0.001214,0.002087
92585,04/21/2016,ACWI,ISHARES TRUST,46428825,57.52000,-0.004844,97600,-0.005257,-0.002437
92585,04/22/2016,ACWI,ISHARES TRUST,46428825,57.51000,-0.000174,97600,0.001833,0.005730
