PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
86449,28/02/2001,XLB,SECTOR SPDR TRUST,81369Y10,,21.12000,0.012950,5000,-0.099103,-0.074519
86449,30/03/2001,XLB,SECTOR SPDR TRUST,81369Y10,,19.97000,-0.049978,5000,-0.070393,-0.072702
86449,30/04/2001,XLB,SECTOR SPDR TRUST,81369Y10,,22.10000,0.106660,5000,0.083831,0.076441
86449,31/05/2001,XLB,SECTOR SPDR TRUST,81369Y10,,22.95000,0.038462,5000,0.010455,0.062199
86449,29/06/2001,XLB,SECTOR SPDR TRUST,81369Y10,,22.06000,-0.034468,5000,-0.017553,0.007726
86449,31/07/2001,XLB,SECTOR SPDR TRUST,81369Y10,,22.00000,-0.002720,5000,-0.018298,-0.028403
86449,31/08/2001,XLB,SECTOR SPDR TRUST,81369Y10,,21.91000,-0.004091,3800,-0.058982,-0.035013
86449,28/09/2001,XLB,SECTOR SPDR TRUST,81369Y10,,19.20000,-0.118811,3800,-0.091485,-0.127787
86449,31/10/2001,XLB,SECTOR SPDR TRUST,81369Y10,,19.72000,0.027083,3800,0.027836,0.078125
86449,30/11/2001,XLB,SECTOR SPDR TRUST,81369Y10,,22.22000,0.126775,5700,0.078777,0.080799
86449,31/12/2001,XLB,SECTOR SPDR TRUST,81369Y10,,21.42000,-0.029921,5700,0.017852,0.057768
86449,31/01/2002,XLB,SECTOR SPDR TRUST,81369Y10,,21.92000,0.023343,5700,-0.015975,0.018192
86449,28/02/2002,XLB,SECTOR SPDR TRUST,81369Y10,,23.08000,0.052920,16950,-0.021696,-0.033066
86449,28/03/2002,XLB,SECTOR SPDR TRUST,81369Y10,,23.71000,0.030725,15700,0.044678,0.074653
86449,30/04/2002,XLB,SECTOR SPDR TRUST,81369Y10,,22.59000,-0.047237,14150,-0.049618,-0.003165
86449,31/05/2002,XLB,SECTOR SPDR TRUST,81369Y10,,23.71000,0.049579,14700,-0.010521,-0.015507
86449,28/06/2002,XLB,SECTOR SPDR TRUST,81369Y10,,23.19000,-0.017101,14400,-0.070249,-0.067317
86449,31/07/2002,XLB,SECTOR SPDR TRUST,81369Y10,,20.56000,-0.113411,14400,-0.081149,-0.107497
86449,30/08/2002,XLB,SECTOR SPDR TRUST,81369Y10,,20.45000,-0.005350,10600,0.007979,0.006337
86449,30/09/2002,XLB,SECTOR SPDR TRUST,81369Y10,,17.69000,-0.129547,9000,-0.099920,-0.084490
86449,31/10/2002,XLB,SECTOR SPDR TRUST,81369Y10,,18.70000,0.057094,11650,0.074923,0.042773
86449,29/11/2002,XLB,SECTOR SPDR TRUST,81369Y10,,20.95000,0.120321,11900,0.061271,0.117775
86449,31/12/2002,XLB,SECTOR SPDR TRUST,81369Y10,,19.84000,-0.045869,12800,-0.053313,-0.040159
86449,31/01/2003,XLB,SECTOR SPDR TRUST,81369Y10,,18.85000,-0.049899,12700,-0.023392,0.006068
86449,28/02/2003,XLB,SECTOR SPDR TRUST,81369Y10,,18.35000,-0.026525,12850,-0.015390,-0.021448
86449,31/03/2003,XLB,SECTOR SPDR TRUST,81369Y10,,18.38000,0.006302,15200,0.010325,0.009434
86449,30/04/2003,XLB,SECTOR SPDR TRUST,81369Y10,,20.04000,0.090316,15800,0.082762,0.098231
86449,30/05/2003,XLB,SECTOR SPDR TRUST,81369Y10,,20.66000,0.030938,13750,0.063471,0.133177
86449,30/06/2003,XLB,SECTOR SPDR TRUST,81369Y10,,20.73000,0.009138,17700,0.016336,0.049745
86449,31/07/2003,XLB,SECTOR SPDR TRUST,81369Y10,,22.36000,0.078630,18550,0.023112,0.061927
86449,29/08/2003,XLB,SECTOR SPDR TRUST,81369Y10,,22.98000,0.027728,23550,0.024966,0.047429
86449,30/09/2003,XLB,SECTOR SPDR TRUST,81369Y10,,21.83000,-0.044840,20450,-0.009112,0.025239
86449,31/10/2003,XLB,SECTOR SPDR TRUST,81369Y10,,23.91000,0.095282,23350,0.060319,0.080954
86449,28/11/2003,XLB,SECTOR SPDR TRUST,81369Y10,,24.45000,0.022585,24100,0.016593,0.038147
86449,31/12/2003,XLB,SECTOR SPDR TRUST,81369Y10,,26.69000,0.097870,26650,0.045488,0.038908
86449,30/01/2004,XLB,SECTOR SPDR TRUST,81369Y10,,25.51000,-0.044211,30500,0.023051,0.065763
86449,27/02/2004,XLB,SECTOR SPDR TRUST,81369Y10,,26.84000,0.052136,31201,0.015458,0.013720
86449,31/03/2004,XLB,SECTOR SPDR TRUST,81369Y10,,26.13000,-0.023136,30201,-0.010674,0.006293
86449,30/04/2004,XLB,SECTOR SPDR TRUST,81369Y10,,24.92000,-0.046307,30201,-0.024232,-0.043590
86449,28/05/2004,XLB,SECTOR SPDR TRUST,81369Y10,,25.62000,0.028090,26452,0.014068,0.002593
86449,30/06/2004,XLB,SECTOR SPDR TRUST,81369Y10,,26.78000,0.049974,25452,0.021598,0.022731
86449,30/07/2004,XLB,SECTOR SPDR TRUST,81369Y10,,26.17000,-0.022778,19252,-0.037667,-0.051090
86449,31/08/2004,XLB,SECTOR SPDR TRUST,81369Y10,,26.61000,0.016813,20453,0.002713,-0.004742
86449,30/09/2004,XLB,SECTOR SPDR TRUST,81369Y10,,27.55000,0.040004,23953,0.020547,0.041601
86449,29/10/2004,XLB,SECTOR SPDR TRUST,81369Y10,,27.29000,-0.009437,23103,0.017806,0.020845
86449,30/11/2004,XLB,SECTOR SPDR TRUST,81369Y10,,29.51000,0.081348,24504,0.048207,0.079935
86449,31/12/2004,XLB,SECTOR SPDR TRUST,81369Y10,,29.73000,0.013285,23654,0.035178,0.052928
86449,31/01/2005,XLB,SECTOR SPDR TRUST,81369Y10,,28.82000,-0.030609,23154,-0.026555,-0.029282
86449,28/02/2005,XLB,SECTOR SPDR TRUST,81369Y10,,31.09000,0.078765,26606,0.022680,0.016643
86449,31/03/2005,XLB,SECTOR SPDR TRUST,81369Y10,,30.16000,-0.026497,27756,-0.016949,-0.031842
86449,29/04/2005,XLB,SECTOR SPDR TRUST,81369Y10,,28.01000,-0.071286,25706,-0.025185,-0.046513
86449,31/05/2005,XLB,SECTOR SPDR TRUST,81369Y10,,27.83000,-0.006426,30606,0.037956,0.043820
86449,30/06/2005,XLB,SECTOR SPDR TRUST,81369Y10,,27.14000,-0.019736,27506,0.011532,0.032139
86449,29/07/2005,XLB,SECTOR SPDR TRUST,81369Y10,,28.64000,0.055269,29756,0.043325,0.058751
86449,31/08/2005,XLB,SECTOR SPDR TRUST,81369Y10,,27.44000,-0.041899,27508,-0.005945,-0.007216
86449,30/09/2005,XLB,SECTOR SPDR TRUST,81369Y10,,27.50000,0.007725,28058,0.010606,0.010533
